,F/H,sector,society,price,price_per_sqft,total_area(sqft),bedRoom,bathroom,balcony,additionalRoom,address,floorNum,agePossession,nearbyLocations,furnishDetails,features
374,0,103,indiabulls centrum park,3.25,8125,4000,4,3,3,0,"Sector 103 Gurgaon, Gurgaon, Haryana",20.0,24-Dec,"['Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Gurgaon Expressway', 'S N International School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Emaar Business Park', 'Country Inn and Suites by Radisson', 'Sector 29 Gurgaon Pubs and Bars', 'HUDA Mini Golf Course', 'Infinitys Badminton Academy', 'F9 Go Karting Gurgaon']",[],
375,0,52,ardee city,5.5,183333,300,9,9,3,"Pooja Room,Servant Room,Others","Sector 52 Gurgaon, Gurgaon, Haryana",3.0,5 to 10 Year Old,"['Radhakrishna Shani Mandir', 'Hanuman Mandir', 'Sanatan Dharm Mandir', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'State bank ATM', 'Icici bank ATM', 'Anand Hospital Gurgaon', 'Arihant Hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Paras Hospital Gurgaon', 'Gupta', 'HUDA Office Complex', 'Pernod Ricard Charitable Dispensary', 'Medisca', 'Heera Fuel Station', 'HCG CNG Station', 'Bharat petroleum', '222', 'Hdfc bank and atm', 'Hdfc bank & atm', 'Axis bank', 'Kotak mahindra bank', 'Indusind bank', 'Pizza Hut', 'Cafe Tonini', 'Wat-a-Burger', 'Clock tower', 'Burger Singh', 'Sagar Ratna', ""Carl's Jr."", 'Starbucks', 'Bikanerwala', 'Shophouse by Kylin', 'St. Angels Sr', 'Amity Global School', 'IILM', 'School of Inspired Leadership SOIL', 'Gurugram University', 'Stones2milestones', 'St. Angels Jr', 'Iilm University']","['21 Fan', '1 Exhaust Fan', '9 Geyser', '10 AC', '3 Chimney', '1 Modular Kitchen', '9 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Rain Water Harvesting']"
376,0,3,,0.8,8155,981,5,4,1,0,"Sector 3 Gurgaon, Gurgaon, Haryana",2.0,5 to 10 Year Old,"['Hanuman Mandir', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Dr. Ajay S. Gupta Clinic', 'Aarvy Hospital', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Gupta Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Dr. Sandeep Chauhan', 'Nangia Hospital Ent and Maternity', 'Ahooja Eye and Dental Institute Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Sethi Hospital Gurgaon', 'My Care Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'M.S Hospital', 'Bindal Clinic', 'Vinayak Hospital Gurgaon', 'Dental Health Centre', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Swastik Maternity and Medical Centre', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Satyam Hospital Gurgaon', 'Parashar Hospital', 'Lalit Dental Care', 'M Goel Hospital', 'Kathuria Hospital', 'Chiranjiv Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Lal Superspeciality Hospital', 'Dev Man Kathuria Clinic', 'Shri Gobind Hospital', 'Dr. Sarvejeet Singh', 'Ravi Clinic and Health Care Centre', 'Jackson Hospital', 'Dr. Madan Clinic', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']",,
377,1,106,paras dews,0.97,8818,1100,2,2,3,1.0,"1201, Sector 106 Gurgaon, Gurgaon, Haryana",6.0,0 to 1 Year Old,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon', 'Country Inn & Suites by Radisson', 'SkyJumper Trampoline Park', 'Hamoni Golf Camp']","['4 Fan', '1 Exhaust Fan', '1 Stove', '5 Light', '3 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
378,1,70,tulip ivory,2.0,8333,2400,4,5,3,1.0,"Sector 70 Gurgaon, Gurgaon, Haryana",7.0,5 to 10 Year Old,"['Reach 3 Roads Shopping Mall', 'Southern Periphery Road', 'Indus World School', 'DPG Institute of Technology', 'Polaris Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Radisson Hotel Sohna Road', 'SkyJumper Trampoline Park', 'SportsCube Center(Sports Complex)']","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
379,1,56,kendriya vihar,0.55,9016,610,1,2,1,0.0,"Sector 56 Gurgaon, Gurgaon, Haryana",,10+ Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Surgicare Hospital Gurgaon', 'Arunodaya Deseret Eye Hospital', 'Vatsalya Clinic', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'Hdfc bank', 'Kotak mahindra bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Madison and Pike', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School', 'Gurugram University']",,"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
380,1,22,ambience creacions,2.55,13709,1860,3,3,3,1.0,"A803, Sector 22 Gurgaon, Gurgaon, Haryana",8.0,1 to 5 Year Old,"['Moulsari Avenue', 'Ambience Mall', 'Old Delhi Gurgaon Road', 'Gurgaon - Delhi Expy', 'Rotary Public School', 'The NorthCap University', 'Manipal Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Candor Techspace', 'Hyatt Place Gurgaon Udyog Vihar', 'Fun N Food WaterPark', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","['3 Wardrobe', '5 Fan', '1 Fridge', '1 Exhaust Fan', '4 Geyser', '1 Washing Machine', '16 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Sofa', 'No Stove', 'No TV', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
381,1,66,emaar mgf the palm drive,2.99,14950,2000,3,3,3,1.0,"Sector 66 Gurgaon, Gurgaon, Haryana",7.0,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 248A', 'Hasanpur', 'Ashoka International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi Gurgaon', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '7 Light', '1 Modular Kitchen', '3 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
382,0,46,,2.4,26667,900,4,4,3,Store Room,"Sector 46 Gurgaon, Gurgaon, Haryana",3.0,5 to 10 Year Old,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","['4 Wardrobe', '8 Fan', '32 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light']"
383,0,6,,1.25,11574,1080,5,5,1,Pooja Room,"34/4, 8 Biswa, Daya Kishan Katariya Marg, Dayanand Colony, Gurgaon, Haryana",2.0,0 to 1 Year Old,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Gurgaon Eye Centre', 'Sparsh Hospital Gurgaon', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Bhatnagar Maternity and Nursing Home', 'Dr. Agya Ram Sharma Clinic', 'Sarvodya Hospital', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Ravi Clinic and Health Care Centre', 'GH Gurgaon', 'Geeta Nursing Home Gurgaon', 'Dr. Sindhu Clinic', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Dr. Ashok Jain', 'Pearl Dental Clinic', 'Lalit Dental Care', 'Jackson Hospital', 'Kharbanda Maternity and Nursing Home', 'M Goel Hospital', 'Bindal Clinic', 'Dentecare - Multispeciality Dental Clinic', 'Lall Nursing and Maternity Home', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Chiranjiv Hospital', 'Taneja Hospital', 'M.S Hospital', 'Yashroop Medical Centre', 'Triveni Hospital Gurgaon', 'My Care Clinic', 'Dental Health Centre', 'Nova Care Clinic', 'Verma E.N.T. Hospital', 'Gupta Hospital Gurgaon', 'Swastik Maternity and Medical Centre', 'Kr Dental Hub', 'Sneh Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['1 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",
384,1,99A,pareena coban residences,1.35,6761,1997,3,5,3,2.0,"Sector 99A Gurgaon, Gurgaon, Haryana",6.0,0 to 1 Year Old,"['Gopal Super Market', 'Little Need Super Market', 'JMS Marine Square Mall', 'Adarsh Public School', 'Basant Lal Memorial College', 'Govt School', 'Rishikul College', 'HDFC Bank ATM', 'Shri Balaji Hospital', 'Shree Krishna Hospital', 'IGI Airport', 'YES Bank', 'Bank of Baroda', 'Garhi Harsaru Junction', 'Park INN']",[],"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Maintenance Staff', 'Club house / Community Center', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Shopping Centre']"
385,1,35,eldeco accolade,0.95,6554,1449,2,2,3,1.0,"Sohna, Gurgaon, Haryana",8.0,24-Jun,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']",[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']"
386,1,106,paras dews,1.4,9978,1403,4,6,3,1.0,"D444, Sector 106 Gurgaon, Gurgaon, Haryana",10.0,1 to 5 Year Old,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon', 'Country Inn & Suites by Radisson', 'SkyJumper Trampoline Park', 'Hamoni Golf Camp']",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
387,0,3,palam vihar extension west zone rwa,0.65,5777,1125,2,2,1,Store Room,"Palam Vihar Extension, Gurgaon, Haryana",1.0,5 to 10 Year Old,"['Palam triangle', 'Palam Vihar Vyapar kendra', 'HUDA Sector 23 Market', 'Ram Mandir', 'Sheetla Mata Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Apollo Cradle Hospital Gurgaon', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Yashroop Medical Centre', 'Chirag Hospital Pvt. Ltd', 'Jeevan Jyoti Hospital Gurgaon', 'Kishor Clinic', 'Sheetla Clinic', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'HUDA sector 23 parking', 'Big Cinemas', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Hdfc bank', 'Icici bank', ""McDonald's"", 'Moti Mahal', 'Pind Baluchi', 'Pizza Hut', 'Cafe Coffee Day', ""Domino's Pizza"", 'Om Sweets', 'Cafe Coffee Day', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'Chiranjiv Bharati School', 'Lieutenant Atul Kataria School', 'Palam vihar railway station']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Water Storage', 'No open drainage around', 'Natural Light']"
388,1,84,pivotal devaan apartments,0.39,6500,600,2,2,0,0.0,"Sector 84, Gurgaon, Haryana, India, Sector 84 Gurgaon, Gurgaon, Haryana",5.0,undefined,"['S.R.S. Hospital and Critical Care Unit', 'Orris Community Center', 'Petrol Pump Indian Oil', 'Indian Oil', 'Essar Petrol Pump', 'Petrol Pump Indian Oil', 'Petrol Pump Indian Oil', 'KFC', 'Pizza Hut', 'Haldiram']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
389,0,7,huda flats,2.3,17037,1350,5,3,3,"Pooja Room,Study Room,Servant Room","693, Sector 7 Gurgaon, Gurgaon, Haryana",3.0,10+ Year Old,"['State bank ATM', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Satyam Hospital Gurgaon', 'Pearl Dental Clinic', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Shiv Mahima Patient Care Bureau', 'Shri Gobind Hospital', 'Navjeevan Hospital and Maternity Centre', 'Ankur Clinic and Maternity Home', 'Lal Superspeciality Hospital', 'Geeta Nursing Home Gurgaon', 'Dr. Ashok Jain', 'Bindal Clinic', 'My Care Clinic', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Tirath Ram Hospitals Pvt Ltd', 'D.R. Rajnis Gupta Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Pasricha Hospital and Maternity Home', 'Dr. Ajay S. Gupta Clinic', 'Nangia Hospital Ent and Maternity', 'Sparsh Hospital Gurgaon', 'Rama Hospital & Nursing Home', 'Bhatnagar Maternity and Nursing Home', 'Parashar Hospital', 'Gurgaon Eye Centre', 'Vinayak Hospital Gurgaon', 'Kathuria Hospital', 'Esic Hospital Gurugram', 'Kr Dental Hub', 'Gupta Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kharbanda Maternity and Nursing Home', 'Kidney Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['1 Fan', '1 Exhaust Fan', '2 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking']"
390,0,50,unitech aspen greens,12.0,37037,3240,3,4,2,"Study Room,Servant Room","Nirvana Country, Gurgaon, Haryana",1.0,5 to 10 Year Old,"['Radhakrishna Shani Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'Vatsalya Clinic', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Dr. Anuj Sharma', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Wembley estate club', 'Gardian Pharmacy', 'Genius', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Madison and Pike', 'India', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Starbucks', 'Nook', 'Kamla International', 'Gurugram University', 'Delhi Public School Primary Section', 'Amity Global School', 'Manav Rachna School', 'St. Angels Sr', 'Manav Rachna Swimming Pool']","['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '3 Geyser', '9 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
391,0,40,,5.0,21124,2367,9,9,3,"Servant Room,Store Room","7777, Sector 40 Gurgaon, Gurgaon, Haryana",3.0,5 to 10 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Centre For Sight Gurgaon Sector 29', 'Sukhmani Hospital Pvt. Ltd', 'Ahmed Hospital Multi Speciality', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'Pernod Ricard Charitable Dispensary', 'IBP Petrol Pump', 'Bharat petroleum', 'Hdfc bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', '32nd Milestone', 'Darbar', 'PWO house', 'Dhabba', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'CR Model Public School', 'Manav Rachna School', 'St. Angels Sr', 'Amity Global School', 'Salvan Public School', 'Stones2milestones', 'Manav Rachna Swimming Pool']","['10 Wardrobe', '21 Fan', '1 Exhaust Fan', '9 Geyser', '1 Washing Machine', '56 Light', '11 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Rain Water Harvesting']"
392,1,68,supertech hues,1.0,8474,1180,2,2,2,0.0,"Tower F, Sector 68 Gurgaon, Gurgaon, Haryana",12.0,0 to 1 Year Old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Kamal Hospital and Maternity Centre', 'Gobind Hospital', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Ekta Hospital', 'Divine Look Clinic Centre', 'Skin Clinic', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Icici bank', 'State bank of india', 'Union bank of india', 'Central bank of india', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza"", 'India']",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre']"
393,1,65,m3m golfestate,5.0,16666,3000,3,3,3,1.0,"Luxury Flat, Sector 65 Gurgaon, Gurgaon, Haryana",2.0,1 to 5 Year Old,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']","['5 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '1 Microwave', '14 Light', '5 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
