,Unnamed: 0,F/H,sector,society,price,price_per_sqft,total_area(sqft),bedRoom,bathroom,balcony,additionalRoom,address,floorNum,agePossession,furnishing_type,additional_room_count,luxury_score
582,582,1,65,emaar mgf emerald floors premier,3.0,15189,1975,4,4,3,1.0,"1975 Sq Ft Apartment, Sector 65 Gurgaon, Gurgaon, Haryana",2.0,New,0,1.0,87
583,583,1,11,global hill view,0.3,4599,652,2,2,2,0.0,"Tower 1,flat 1608, Global Hill View,sohna Sector 11, Sector-11 sohna, Gurgaon, Haryana",16.0,New,0,0.0,0
584,584,0,23,indepedent,5.0,16244,3078,4,4,2,0,"Sector 23 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,7
585,585,1,68,supertech hues,0.9,7627,1180,2,2,2,0.0,"104, Sector 68 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,0,0.0,44
586,586,1,90,dlf new town heights ,1.65,6979,2364,4,4,3,1.0,"Sector 90 Gurgaon, Gurgaon, Haryana",15.0,Relatively Old,2,1.0,137
587,587,0,3,indepedent,0.85,9444,900,5,3,3,0,"35597., Ashok Vihar Phase 2, Gurgaon, Haryana",3.0,Relatively Old,0,0.0,0
588,588,1,107,m3m woodshire,0.82,6002,1366,2,2,3,0.0,"N/a, Sector 107 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,111
589,589,1,67,m3m merlin,4.5,14267,3154,4,4,3,1.0,"Middle Floor, Sector 67 Gurgaon, Gurgaon, Haryana",15.0,New,2,1.0,158
591,591,1,54,dlf park place,4.85,30180,1607,3,4,3,1.0,"H 6, Sector 54 Gurgaon, Gurgaon, Haryana",6.0,Relatively Old,1,1.0,158
592,592,0,1,indepedent,4.0,16004,2499,3,3,2,servant room,"C 1 Block, Ansal Plaza, Gurgaon, Haryana",3.0,Relatively Old,2,1.0,115
594,594,1,95,rof anot availableda,0.2,5599,357,1,1,1,1.0,"203, Sector 95 Gurgaon, Gurgaon, Haryana",2.0,New,0,1.0,53
595,595,0,13,indepedent,1.5,10518,1426,2,2,2,"pooja room,study room","Hno. 26, A Block, Sector 13 Gurgaon, Gurgaon, Haryana",3.0,Old,0,2.0,7
596,596,1,69,tulip violet,1.2,10909,1100,2,3,0,0.0,"Sector 69, Sector 69 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,54
597,597,1,90,dlf new town heights ,1.9,5683,3343,4,4,3,2.0,"Middle Floor, Park Facing, Sector 90 Gurgaon, Gurgaon, Haryana",7.0,New,0,2.0,88
598,598,1,92,sare green parc 2,0.61,4837,1261,3,2,2,1.0,"Sector 92 Gurgaon, Gurgaon, Haryana",6.0,Under Construction,0,1.0,0
599,599,0,3,indepedent,0.98,9074,1080,9,4,3,0,"40ft Road Near Rk Tower, Palam Vihar Extension, Gurgaon, Haryana",3.0,Relatively Old,0,0.0,0
600,600,1,85,ss the leaf,1.3,10483,1240,2,2,3,1.0,"Tower 2, Sector 85 Gurgaon, Gurgaon, Haryana",10.0,New,0,1.0,148
601,601,1,85,orris aster court premier,1.5,5859,2560,4,5,3,1.0,"Sector 85 Gurgaon, Gurgaon, Haryana",6.0,Relatively New,2,1.0,28
602,602,1,3,palam vihar society,3.35,7444,4500,4,4,3,1.0,"1057, Palam Vihar, Gurgaon, Haryana",2.0,Relatively New,0,1.0,66
603,603,1,102,shapoorji pallonji joyville gurugram,1.28,10534,1215,2,2,3,0.0,"Sector 102 Gurgaon, Gurgaon, Haryana",10.0,New,0,0.0,49
604,604,1,79,supertech araville,0.9,5883,1530,2,2,3,1.0,"Sector 79, Naurangpur, Gurugram, Haryana, 122004, India",5.0,New,0,1.0,53
605,605,1,83,emaar palm gardens,1.76,9263,1900,3,3,3,1.0,"704, Sector 83 Gurgaon, Gurgaon, Haryana",6.0,New,2,1.0,165
606,606,0,24,indepedent,2.6,24074,1080,4,4,3,"study room,store room,pooja room","DLF Phase 3, Gurgaon, Haryana",3.0,New,1,3.0,0
607,607,0,86,dlf new town heights ,2.5,7827,3194,4,5,3,"pooja room,servant room,others","Th98, Sector 86 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,3.0,49
608,608,0,10,indepedent,0.45,8333,540,4,2,1,0,"Saraswati Enclave, Gurgaon, Haryana",3.0,New,0,0.0,0
609,609,0,3,indepedent,4.95,20370,2430,6,5,3,servant room,"Palam Vihar, Gurgaon, Haryana",3.0,New,0,1.0,91
610,610,1,109,ats kocoon,2.22,10596,2095,3,4,3,4.0,"1245, Sector 109 Gurgaon, Gurgaon, Haryana",14.0,New,0,4.0,45
611,611,1,43,sushant lok 1 builder floors,2.5,12920,1935,3,3,2,0.0,"Sushant Lok Phase 1, Gurgaon, Haryana",2.0,Relatively New,0,0.0,0
612,612,0,7,indepedent,1.16,11717,990,5,4,2,0,"Jyoti Park, Sector 7, Jyoti Park, Gurgaon, Haryana",3.0,Old,0,0.0,0
613,613,1,45,cghs agrim apartment,1.49,8514,1750,3,2,3,0.0,"Gurgaon. 122001, Kanahi, Gurgaon, Haryana",1.0,Old,1,0.0,68
614,614,1,37D,signature global city 37d ph 2,1.1,8148,1350,3,3,1,1.0,"Sector 37D Gurgaon, Gurgaon, Haryana",2.0,Under Construction,0,1.0,30
615,615,0,50,unitech espace,7.42,34352,2160,4,4,3,0,"Good Location Villa On Sale, Nirvana Country, Gurgaon, Haryana",3.0,Old,2,0.0,88
616,616,1,37C,imperia the esfera,0.7,4879,1435,2,3,3,2.0,"12th Floor, Sector 37C Gurgaon, Gurgaon, Haryana",12.0,Under Construction,0,2.0,58
617,617,1,109,ats kocoon,2.15,10262,2095,3,4,3,1.0,"N/a, Sector 109 Gurgaon, Gurgaon, Haryana",9.0,New,0,1.0,97
618,618,1,85,ss the leaf,1.05,6402,1640,2,2,3,1.0,"Sector 85 Gurgaon, Gurgaon, Haryana",6.0,New,0,1.0,49
619,619,1,109,ats tourmaline,1.65,7674,2150,3,3,3,1.0,"Sector 109 Gurgaon, Gurgaon, Haryana",16.0,New,2,1.0,49
620,620,1,37C,ild grand,0.66,5038,1310,2,2,3,0.0,"Sector 37c, Delhi Gurgaon Expressway, Sector 37C Gurgaon, Gurgaon, Haryana",14.0,New,0,0.0,60
621,621,1,93,signature global orchard avenue,0.4,7359,544,2,2,2,0.0,"Sector 93 Gurgaon, Gurgaon, Haryana",11.0,Relatively New,0,0.0,37
622,622,1,35,eldeco accolade,0.71,4907,1447,2,2,3,1.0,"0001, Sohna, Gurgaon, Haryana",10.0,New,0,1.0,49
623,623,1,107,signature global solera,0.28,5725,489,2,2,2,0.0,"Sector 107 Gurgaon, Gurgaon, Haryana",10.0,New,0,0.0,38
624,624,1,56,kiran residency,1.55,6888,2250,3,3,3,2.0,"511, Sector 56 Gurgaon, Gurgaon, Haryana",5.0,Relatively Old,2,2.0,92
625,625,1,66,emaar mgf the palm drive,3.5,15909,2200,3,3,3,2.0,"706, Sector 66 Gurgaon, Gurgaon, Haryana",7.0,Relatively Old,2,2.0,149
626,626,1,68,pareena mi casa,1.0,8163,1225,2,2,2,1.0,"Sector 68 Gurgaon, Gurgaon, Haryana",16.0,Relatively New,0,1.0,65
627,627,0,22,saksham welfare association,4.7,19847,2368,6,6,3,"pooja room,store room","Sector 22, Sector 22 Gurgaon, Gurgaon, Haryana",3.0,Old,2,2.0,106
628,628,1,88A,godrej oasis,1.45,8367,1733,2,2,3,1.0,"Sector 88A Gurgaon, Gurgaon, Haryana",9.0,New,1,1.0,85
629,629,1,111,puri diplomatic greens,3.9,13000,3000,4,5,3,1.0,"Sector 111 Gurgaon, Gurgaon, Haryana",6.0,New,1,1.0,160
630,630,1,79,mapsko mount ville,1.2,13837,867,3,3,3,2.0,"Sector 79 Gurgaon, Gurgaon, Haryana",18.0,New,2,2.0,160
631,631,0,70A,bptp visionnaire,5.4,20690,2610,4,5,3,"pooja room,store room,study room,servant room","290 Sqyd Duplex Villa, Sector 70A Gurgaon, Gurgaon, Haryana",3.0,New,2,4.0,136
632,632,1,35,signature global park,0.75,6938,1081,3,2,3,0.0,"Sohna, Gurgaon, Haryana",4.0,Relatively New,0,0.0,101
633,633,1,69,tulip violet,1.72,8730,1970,4,4,1,0.0,"12th Floor, Sector 69 Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,86
634,634,1,105,saroop garden,0.95,2638,3601,2,2,1,1.0,"saroop garden rajendra park, Gurgaon, Haryana",1.0,Relatively New,0,1.0,0
635,635,0,7,indepedent,1.2,11194,1072,5,4,2,0,"Jyoti Park, Sector 7, Jyoti Park, Gurgaon, Haryana",3.0,Old,0,0.0,0
636,636,1,82,vatika the seven lamps,1.0,5923,1688,2,2,2,1.0,"Sector 82 Gurgaon, Gurgaon, Haryana",11.0,New,2,1.0,90
637,637,1,108,experion the heartsong,3.0,18392,1631,4,5,3,1.0,"Sector 108 Gurgaon, Gurgaon, Haryana",2.0,New,1,1.0,149
638,638,1,37C,ashiyara 2,0.45,4500,1000,3,3,2,0.0,"Garauli Kalan, Gurgaon, Haryana",18.0,Under Construction,0,0.0,0
639,639,0,35,indepedent,1.5,14245,1053,2,3,2,"pooja room,study room","Sohna, Gurgaon, Haryana",3.0,Relatively New,2,2.0,69
640,640,0,12,indepedent,0.8,6666,1200,8,8,2,0,"IMT Manesar, Gurgaon, Haryana",3.0,New,0,0.0,0
641,641,1,3A,huda ashok vihar phase ,0.43,6615,650,2,2,1,0.0,"Laxman Vihar, Gurgaon, Haryana",2.0,New,0,0.0,7
642,642,1,88A,godrej oasis,1.38,6679,2066,3,3,3,1.0,"Sector 88A Gurgaon, Gurgaon, Haryana",7.0,New,0,1.0,72
643,643,1,104,godrej summit,0.85,5878,1446,2,2,3,1.0,"Godrej Summit, Sector-104 Gurgaon, Sector 104 Gurgaon, Gurgaon, Haryana",10.0,New,0,1.0,79
644,644,1,48,parsvnath green ville,1.6,8376,1910,3,3,3,1.0,"Sector 48 Gurgaon, Gurgaon, Haryana",13.0,Old,2,1.0,119
645,645,1,33,central park flower valley,1.4,21538,650,3,3,3,0.0,"Sector-33 Sohna, Gurgaon, Haryana",2.0,Under Construction,0,0.0,54
647,647,1,65,m3m golfestate,6.15,15998,3844,3,5,3,1.0,"Duplex 3bhk, Sector 65 Gurgaon, Gurgaon, Haryana",1.0,New,1,1.0,49
648,648,1,99,assotech blith,0.92,6739,1365,2,2,3,0.0,"Sector 99 Gurgaon, Gurgaon, Haryana",22.0,Under Construction,0,0.0,56
649,649,1,92,raheja navodaya,1.1,4681,2350,3,2,3,0.0,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,0
650,650,1,79,mapsko mount ville,1.25,8389,1490,3,3,3,2.0,"Sector 79 Gurgaon, Gurgaon, Haryana",22.0,New,0,2.0,160
651,651,1,69,tulip violet,1.75,8883,1970,4,4,1,0.0,"12th Floor, Sector 69 Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,86
652,652,0,7,indepedent,0.45,5000,900,3,2,1,others,"Baldev Nagar, Gurgaon, Haryana",3.0,Old,0,1.0,12
653,653,1,33,godrej nature plus,1.1,7971,1380,2,2,2,0.0,"Sohna Sector 33, Sector-33 Sohna, Gurgaon, Haryana",14.0,Under Construction,0,0.0,56
654,654,1,102,suncity avenue ,0.47,8928,526,2,2,1,1.0,"5th Floor C-503, Sector 102 Gurgaon, Gurgaon, Haryana",5.0,New,0,1.0,142
655,655,1,66,emaar mgf palm studios,1.7,13502,1259,2,2,2,1.0,"Sector 66 Gurgaon, Gurgaon, Haryana",7.0,New,0,1.0,99
656,656,0,14,indepedent,7.5,16600,4518,3,3,2,"pooja room,study room,servant room","Sector 14, Sector 14 Gurgaon, Gurgaon, Haryana",3.0,Old,2,3.0,27
657,657,1,88B,vatika xpressions,0.92,6815,1350,2,2,3,0.0,"Sector 88b, Sector 88B Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,0.0,26
658,658,1,35,breez global heights,0.21,5329,394,1,1,1,0.0,"Sohna, Gurgaon, Haryana",2.0,New,0,0.0,21
659,659,0,14,indepedent,3.5,18088,1935,6,4,2,others,"Sector 14, Sector 14 Gurgaon, Gurgaon, Haryana",3.0,Old,2,1.0,27
660,660,1,107,signature global solera,0.36,6581,547,2,2,2,0.0,"Sector 107 Gurgaon, Gurgaon, Haryana",8.0,New,0,0.0,45
661,661,0,26,indepedent,4.6,12198,3771,4,4,3,0,"F-5/10, Sector 26 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,28
662,662,0,3,ansals palam vihar,2.68,17213,1557,4,3,2,store room,"112, Palam Vihar, Gurgaon, Haryana",3.0,Relatively Old,2,1.0,74
663,663,1,88A,adani aangan arcade,0.45,7194,626,2,2,1,0.0,"Tower A-4, Flat No. 804, Sector 88A Gurgaon, Gurgaon, Haryana",8.0,Relatively New,0,0.0,14
664,664,1,108,experion the heartsong,2.28,8204,2779,4,5,3,0.0,"N/a, Sector 108 Gurgaon, Gurgaon, Haryana",8.0,New,0,0.0,101
665,665,1,63A,birla navya,3.5,25926,1350,3,3,3,0.0,"Sector 63A Gurgaon, Gurgaon, Haryana",1.0,Under Construction,0,0.0,38
666,666,1,50,the close north,2.7,9980,2705,3,3,3,1.0,"16floor, Nirvana Country, Gurgaon, Haryana",3.0,Relatively Old,0,1.0,117
667,667,0,49,eros rosewood city,4.05,20769,1950,3,3,3,"servant room,store room","B23, Sector 49 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,0,2.0,46
668,668,1,35,signature global park,0.72,5991,1202,2,2,3,1.0,"001, Sohna, Gurgaon, Haryana",3.0,New,0,1.0,158
669,669,1,78,umang monsoon breeze,1.05,5666,1853,3,3,3,0.0,"E Tower., Sector 78 Gurgaon, Gurgaon, Haryana",6.0,Relatively Old,0,0.0,0
670,670,1,81,lavanya apartments,0.9,5056,1780,3,3,0,0.0,"Sector 81, Sector 81 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,0
671,671,1,52,residency grand,5.0,7692,6500,5,7,3,2.0,"A 101, A 102 Residency Grand Cghs Ltd Sector 52, Gurgaon, Sector 52 Gurgaon, Gurgaon, Haryana",1.0,Relatively Old,0,2.0,77
673,673,1,69,tulip violet,1.7,8623,1971,4,4,1,0.0,"12th Floor, Sector 69 Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,88
674,674,0,26,indepedent,4.45,35178,1265,4,4,3,0,"DLF Phase 1, Gurgaon, Haryana",3.0,Old,0,0.0,25
675,675,1,25,dlf belvedere towers,3.4,13765,2470,4,4,3,1.0,"DLF Phase 2, Gurgaon, Haryana",1.0,Old,0,1.0,26
676,676,1,37D,bptp terra,1.8,8215,2191,4,3,3,3.0,"Sector 37D Gurgaon, Gurgaon, Haryana",18.0,New,0,3.0,49
677,677,1,92,sare homes,0.95,4750,2000,4,3,2,0.0,"Flat T04-1701 Sare Homes Sector 92 Gurgaon, Sector 92 Gurgaon, Gurgaon, Haryana",17.0,Relatively New,0,0.0,7
678,678,1,33,breeze global heights,0.4,6421,623,2,2,2,0.0,"Sector 33, Sector 33 Gurgaon, Gurgaon, Haryana",4.0,Under Construction,0,0.0,0
679,679,0,82A,vatika sovereign next,3.85,7500,5133,5,6,3,0,"Sector 82a, Sector 82A Gurgaon, Gurgaon, Haryana",3.0,New,0,0.0,53
680,680,1,70,shree vardhman victoria,1.75,8974,1950,3,5,0,0.0,"Sector 70, Sector 70 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,47
681,681,1,81,bestech park view anot availableda,0.95,10626,894,2,2,2,0.0,"Sector 81 Gurgaon, Gurgaon, Haryana",2.0,New,2,0.0,104
682,682,1,107,signature global solera,0.36,5980,602,2,2,1,1.0,"A3-708, Sector 107 Gurgaon, Gurgaon, Haryana",7.0,New,0,1.0,49
683,683,1,67A,ireo the corridors,1.8,14658,1228,3,3,3,2.0,"A-000, Sector 67A Gurgaon, Gurgaon, Haryana",6.0,Relatively New,2,2.0,150
684,684,1,92,signature global city 92,0.78,11142,700,2,2,3,1.0,"Sector 92 Gurgaon, Gurgaon, Haryana",2.0,Under Construction,0,1.0,24
685,685,1,110,indiabulls enigma,4.0,9851,4061,4,4,3,0.0,"Sector 110, Sector 110 Gurgaon, Gurgaon, Haryana",17.0,Relatively New,0,0.0,59
686,686,1,86,pyramid urban homes 2,0.43,8582,501,2,2,1,1.0,"155, Sector 86 Gurgaon, Gurgaon, Haryana",6.0,Relatively New,0,1.0,92
688,688,1,47,unitech uniworld gardens,2.4,11505,2086,3,4,3,1.0,"Lm 96, Sector 47 Gurgaon, Gurgaon, Haryana",10.0,Relatively Old,0,1.0,103
689,689,1,35,gls arawali homes,0.3,4687,640,2,2,2,0.0,"Sohna, Gurgaon, Haryana",4.0,New,0,0.0,42
690,690,1,85,orris carnation residency,0.9,6428,1400,3,3,2,0.0,"1202, Sector 85 Gurgaon, Gurgaon, Haryana",12.0,New,0,0.0,120
691,691,1,22,ambience creacions,2.55,13709,1860,3,3,3,0.0,"D-5, Sector 22 Gurgaon, Gurgaon, Haryana",5.0,New,1,0.0,49
692,692,1,86,dlf the skycourt,1.55,8031,1930,3,3,3,0.0,"Sector 86 Gurgaon, Gurgaon, Haryana",5.0,New,0,0.0,49
693,693,0,57,ansals florence villa,3.65,10579,3450,6,6,2,"pooja room,study room,servant room,store room","E-Block, Sushant Lok Phase 3, Gurgaon, Haryana",3.0,Relatively Old,1,4.0,152
694,694,1,99A,pareena coban residences,1.1,7096,1550,2,2,3,1.0,"Flat, Sector 99A Gurgaon, Gurgaon, Haryana",9.0,Relatively New,0,1.0,88
696,696,1,69,tulip violet,1.68,8358,2010,4,4,2,0.0,"704, Sector 69 Gurgaon, Gurgaon, Haryana",7.0,New,0,0.0,127
697,697,1,102,shapoorji pallonji joyville gurugram,2.5,14000,1786,3,3,3,0.0,"Sector 102 Gurgaon, Gurgaon, Haryana",15.0,Under Construction,0,0.0,151
698,698,1,63A,signature global city 63a,1.65,15263,1081,2,2,2,0.0,"Sector 63A Gurgaon, Gurgaon, Haryana",1.0,Under Construction,0,0.0,0
699,699,1,3,bestech park view residency,1.18,7539,1565,2,2,3,1.0,"Park View Residency, Palam Vihar, Gurgaon, Haryana",5.0,Old,0,1.0,76
700,700,0,39,indepedent,1.6,17937,892,1,1,2,0,"925, Sector 39 Gurgaon, Gurgaon, Haryana",3.0,Old,0,0.0,40
701,701,0,12,jacob pura,0.35,9722,360,2,1,0,0,"15/3, Jacobpura, Jacobpura, Gurgaon, Haryana",3.0,Old,0,0.0,0
702,702,1,43,dlf carlton estate,2.0,14214,1407,3,3,2,0.0,"DLF Phase 5, Gurgaon, Haryana",5.0,Relatively Old,0,0.0,65
703,703,1,35,trisara our homes 3,0.4,4478,893,2,2,2,0.0,"Sohna Sector 6, Sohna, Gurgaon, Haryana",1.0,New,0,0.0,0
704,704,1,108,sobha city,2.9,14478,2003,3,4,2,0.0,"N/a, Sector 108 Gurgaon, Gurgaon, Haryana",11.0,New,0,0.0,108
705,705,1,69,tulip violet,1.65,8872,1860,3,3,2,0.0,"Sector 69 Gurgaon, Gurgaon, Haryana",1.0,New,2,0.0,69
706,706,1,37D,bptp terra,1.78,8124,2191,4,3,3,1.0,"Plc Unit, Sector 37D Gurgaon, Gurgaon, Haryana",10.0,New,0,1.0,127
707,707,1,84,alpha corp gurgaonone ,1.15,7496,1534,2,2,3,1.0,"Tower D, Sector 84 Gurgaon, Gurgaon, Haryana",14.0,New,0,1.0,28
708,708,1,37C,imperia the esfera,1.1,5405,2035,3,4,3,2.0,"Sector 37C Gurgaon, Gurgaon, Haryana",9.0,New,0,2.0,49
709,709,1,54,dlf park place,6.75,24963,2704,4,4,2,1.0,"Sector 54 Gurgaon, Gurgaon, Haryana",8.0,Relatively Old,1,1.0,135
710,710,1,67,ireo victory valley,2.99,11832,2527,3,3,3,1.0,"702, Sector 67 Gurgaon, Gurgaon, Haryana",4.0,New,2,1.0,37
711,711,1,36A,avl 36 gurgaon,0.5,8333,600,1,1,1,0.0,"Sector 36a, Sector 36A Gurgaon, Gurgaon, Haryana",5.0,New,0,0.0,0
712,712,1,81,dlf the ultima,2.35,11233,2092,3,4,3,1.0,"125, Sector 81 Gurgaon, Gurgaon, Haryana",18.0,New,0,1.0,106
713,713,1,89,smart world gems,0.9,8145,1105,2,2,2,0.0,"Sector 89, Sector 89 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,0,0.0,45
715,715,1,69,tulip leaf,2.06,11386,1809,3,3,3,0.0,"Sector 69 Gurgaon, Gurgaon, Haryana",16.0,New,0,0.0,49
716,716,1,65,emaar emerald hills,1.95,13928,1400,3,3,3,1.0,"Amber Block, Sector 65 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,2,1.0,117
717,717,1,89,nbcc heights,0.75,6578,1140,2,2,2,0.0,"Sector 89 Gurgaon, Gurgaon, Haryana",6.0,Relatively Old,0,0.0,0
718,718,1,12,allure homes,0.72,7272,990,2,2,1,1.0,"102, Sector 12 Gurgaon, Gurgaon, Haryana",2.0,New,2,1.0,16
719,719,1,110,indiabulls enigma,4.25,10953,3880,5,5,3,1.0,"N/a, Sector 110 Gurgaon, Gurgaon, Haryana",4.0,New,0,1.0,101
720,720,1,83,vatika gurgaon ,1.18,6801,1735,3,3,2,0.0,"Sector 83 Gurgaon, Gurgaon, Haryana",14.0,New,0,0.0,26
721,721,1,56,the lions cghs,2.05,8541,2400,4,4,3,0.0,"Sector 56 Gurgaon, Gurgaon, Haryana",8.0,Relatively Old,2,0.0,49
722,722,1,103,satya the hermitage,0.89,6137,1450,2,3,3,1.0,"Sector 103 Gurgaon, Gurgaon, Haryana",1.0,New,0,1.0,75
723,723,1,83,ss the leaf,1.19,7225,1647,2,2,3,0.0,"Sector 83 Gurgaon, Gurgaon, Haryana",4.0,New,0,0.0,49
724,724,1,3,godrej habitat,1.1,10410,1057,2,2,2,0.0,"Sector 3 Gurgaon, Gurgaon, Haryana",14.0,Under Construction,0,0.0,60
725,725,1,99A,raheja vanya,0.85,6789,1252,2,2,2,0.0,"B33, Sector 99A Gurgaon, Gurgaon, Haryana",3.0,Relatively New,0,0.0,43
726,726,1,70A,aipl peaceful homes,2.75,12791,2150,3,3,3,0.0,"Sector 70a, Sector 70A Gurgaon, Gurgaon, Haryana",14.0,New,0,0.0,0
727,727,1,69,tulip violet,1.4,9102,1538,3,3,1,0.0,"1202, Sector 69 Gurgaon, Gurgaon, Haryana",12.0,New,2,0.0,157
728,728,0,26,dlf city phase 1,4.5,33333,1350,3,3,2,"study room,servant room","Sector 26 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,0,2.0,70
729,729,0,24,indepedent,1.45,2984,4860,3,3,1,0,"DLF Phase 3, Gurgaon, Haryana",3.0,Old,0,0.0,9
730,730,1,65,emaar mgf emerald floors premier,2.35,14242,1650,3,3,3,2.0,"1111, Sector 65 Gurgaon, Gurgaon, Haryana",2.0,New,0,2.0,158
731,731,0,45,indepedent,16.0,35003,4571,6,7,3,"pooja room,study room,servant room,store room","Block-A Park Facing, Greenwood City, Gurgaon, Haryana",3.0,New,2,4.0,105
732,732,1,69,tulip purple,1.8,9000,2000,4,5,3,1.0,"Sector 69 Gurgaon, Gurgaon, Haryana",4.0,New,0,1.0,165
733,733,0,11,indepedent,1.05,9722,1080,3,2,0,0,"Hira Nagar, Gurgaon, Haryana",3.0,New,0,0.0,0
734,734,1,11,global hill view,0.35,4861,720,2,2,2,0.0,"Global Hill View, Sector 11, Sohna Gurgaon, Haryana., Sector-11 sohna, Gurgaon, Haryana",10.0,Relatively New,0,0.0,118
735,735,1,35,breez global heights,0.4,6420,623,2,2,1,0.0,"Tower 18, Sohna, Gurgaon, Haryana",4.0,Relatively New,0,0.0,49
736,736,1,37D,ramprastha skyz,1.2,6000,2000,3,2,1,2.0,"9th Floor, Sector 37D Gurgaon, Gurgaon, Haryana",9.0,Under Construction,0,2.0,53
737,737,1,61,smart world orchard,1.47,12782,1150,2,2,2,2.0,"Sector 61 Gurgaon, Gurgaon, Haryana",4.0,Relatively New,0,2.0,53
738,738,0,48,vipul tatvam villa,8.5,21250,4000,4,5,3,"pooja room,study room,servant room,others","003, Sector 48 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,4.0,49
739,739,1,111,kashish manor one,1.65,7097,2325,3,4,3,2.0,"Sector 111 Gurgaon, Gurgaon, Haryana",14.0,Under Construction,0,2.0,8
740,740,1,59,mahindra luminare,5.8,19173,3025,3,4,3,1.0,"3bhk Flat, Sector 59 Gurgaon, Gurgaon, Haryana",16.0,Relatively New,2,1.0,49
741,741,1,90,dlf regal gardens,1.25,6459,1935,3,3,3,1.0,"Sector 90, Sector 90 Gurgaon, Gurgaon, Haryana",10.0,New,2,1.0,38
742,742,0,25,indepedent,13.5,37313,3618,5,6,3,others,"DLF Phase 2, Gurgaon, Haryana",3.0,Old,2,1.0,79
743,743,0,12,indepedent,2.5,13888,1800,9,5,2,pooja room,"Subhash Nagar, Gurgaon, Haryana",3.0,Old,0,1.0,8
744,744,0,43,indepedent,2.15,13030,1650,1,1,0,0,"Block B, Sushant Lok I, Gurgaon, Sushant Lok Phase 1, Gurgaon, Haryana",3.0,New,0,0.0,0
745,745,0,13,indepedent,0.9,11464,785,5,4,3,"pooja room,study room,servant room,others","Rajiv Nagar, Gurgaon, Haryana",3.0,Relatively Old,0,4.0,0
746,746,1,70A,aipl the peaceful homes,2.3,10697,2150,3,3,3,1.0,"Sector 70A Gurgaon, Gurgaon, Haryana",3.0,New,2,1.0,124
747,747,1,78,umang monsoon breeze,1.25,5000,2500,4,4,3,3.0,"G201, Sector 78 Gurgaon, Gurgaon, Haryana",2.0,New,0,3.0,57
748,748,1,85,ss the leaf,2.0,6578,3040,4,5,3,2.0,"Sector 85 Gurgaon, Sector 85 Gurgaon, Gurgaon, Haryana",1.0,New,0,2.0,106
749,749,1,110A,mahindra aura,2.25,9266,2428,4,4,3,1.0,"Sector 110 A Gurgaon, Gurgaon, Haryana",2.0,New,0,1.0,152
750,750,1,72,tata primanti,5.25,15648,3355,4,4,3,1.0,"T7/3003, Sector 72 Gurgaon, Gurgaon, Haryana",30.0,Relatively New,2,1.0,174
751,751,1,85,orris carnation residency,0.88,5952,1478,3,3,1,0.0,"Sector 85 Gurgaon, Gurgaon, Haryana",1.0,New,0,0.0,65
752,752,0,57,ansal sushant residency,4.6,17037,2700,6,6,3,"pooja room,study room,servant room,store room","C-Block, Sushant Lok Phase 3, Gurgaon, Haryana",3.0,Old,1,4.0,102
753,753,1,104,puri emerald bay,2.49,10163,2450,3,3,3,1.0,"Tower A1, A2, A3, Sector 104 Gurgaon, Gurgaon, Haryana",14.0,New,2,1.0,129
754,754,1,92,gls avenue 51,0.45,6000,750,3,3,1,0.0,"H1001, Sector 92 Gurgaon, Gurgaon, Haryana",10.0,New,0,0.0,0
755,755,0,9,indepedent,3.5,13410,2610,9,9,3,study room,"122001, Sector 9 Gurgaon, Gurgaon, Haryana",3.0,New,0,1.0,23
756,756,1,103,indiabulls centrum park,1.01,8080,1250,2,2,3,1.0,"5th, Sector 103 Gurgaon, Gurgaon, Haryana",5.0,New,2,1.0,165
757,757,1,22,ambience creacions,4.1,28101,1459,3,3,3,0.0,"101, Sector 22 Gurgaon, Gurgaon, Haryana",2.0,Relatively New,1,0.0,119
758,758,1,90,dlf regal gardens,1.26,7403,1702,3,3,3,1.0,"Sector 90 Gurgaon, Gurgaon, Haryana",6.0,New,2,1.0,28
759,759,0,67,ireo victory valley,8.0,22222,3600,6,7,3,"pooja room,study room,servant room,store room","126, Sector 67 Gurgaon, Gurgaon, Haryana",3.0,Relatively Old,2,4.0,151
